user_activity,user_category_pref,product_id,product_activity,product_category,product_price,product_views,product_purchases,product_rating,same_activity,same_category,score
skating,Footwear,1,running,Footwear,99.99,320,85,4.5,0,1,0.5168
skating,Accessories,4,running,Accessories,15.99,150,40,3.8,0,1,0.4061
running,Clothing,12,skating,Safety,44.99,155,40,4.5,0,0,0.2454
running,Footwear,10,cycling,Clothing,39.99,190,50,4.1,0,0,0.3072
cycling,Footwear,1,running,Footwear,99.99,320,85,4.5,0,1,0.4803
running,Clothing,4,running,Accessories,15.99,150,40,3.8,1,0,0.6013
skating,Footwear,9,cycling,Clothing,59.99,240,65,4.4,0,0,0.341
running,Safety,4,running,Accessories,15.99,150,40,3.8,1,0,0.6514
cycling,Accessories,13,skating,Footwear,89.99,200,55,4.3,0,0,0.1975
running,Clothing,12,skating,Safety,44.99,155,40,4.5,0,0,0.2401
cycling,Accessories,5,running,Accessories,19.99,130,35,3.9,0,1,0.3778
running,Clothing,13,skating,Footwear,89.99,200,55,4.3,0,0,0.1977
cycling,Footwear,2,running,Clothing,29.99,210,60,4.2,0,0,0.2721
cycling,Footwear,6,cycling,Safety,49.99,280,70,4.7,1,0,0.5913
cycling,Accessories,13,skating,Footwear,89.99,200,55,4.3,0,0,0.1348
running,Safety,9,cycling,Clothing,59.99,240,65,4.4,0,0,0.2339
running,Safety,2,running,Clothing,29.99,210,60,4.2,1,0,0.6094
skating,Accessories,14,skating,Clothing,11.99,120,35,3.7,1,0,0.6157
skating,Accessories,10,cycling,Clothing,39.99,190,50,4.1,0,0,0.1856
running,Footwear,1,running,Footwear,99.99,320,85,4.5,1,1,0.8214
skating,Clothing,13,skating,Footwear,89.99,200,55,4.3,1,0,0.6943
cycling,Footwear,14,skating,Clothing,11.99,120,35,3.7,0,0,0.1887
running,Footwear,7,cycling,Clothing,24.99,200,55,4.3,0,0,0.2569
cycling,Safety,11,skating,Safety,29.99,170,45,4.2,0,1,0.3548
cycling,Clothing,6,cycling,Safety,49.99,280,70,4.7,1,0,0.6598
cycling,Clothing,11,skating,Safety,29.99,170,45,4.2,0,0,0.2316
cycling,Footwear,10,cycling,Clothing,39.99,190,50,4.1,1,0,0.5735
skating,Clothing,9,cycling,Clothing,59.99,240,65,4.4,0,1,0.4808
skating,Clothing,3,running,Clothing,9.99,180,95,4.0,0,1,0.503
cycling,Safety,5,running,Accessories,19.99,130,35,3.9,0,0,0.1864
skating,Clothing,11,skating,Safety,29.99,170,45,4.2,1,0,0.5959
cycling,Footwear,4,running,Accessories,15.99,150,40,3.8,0,0,0.3056
running,Accessories,7,cycling,Clothing,24.99,200,55,4.3,0,0,0.2528
cycling,Footwear,4,running,Accessories,15.99,150,40,3.8,0,0,0.1601
